,Sentence,Annotation
388,挪威移民局（UDI）表示，该计划比将其留在庇护中心的成本更低。,"挪威 ns
移民局 n
（ x
UDI eng
） x
表示 v
， x
该 r
计划 n
比将 d
其 r
留在 v
庇护 v
中心 n
的 uj
成本 n
更 d
低 a
。 x
"
389,到这个时候，宝宝的生存机会就像是足月一样良好。,"到 v
这个 r
时候 n
， x
宝宝 nr
的 uj
生存 v
机会 n
就 d
像是 v
足 a
月 m
一样 r
良好 a
。 x
"
390,今天有些人仍然记得他是一个记者和编辑，而不是一个政治家。,"今天 t
有些 r
人 n
仍然 d
记得 v
他 r
是 v
一个 m
记者 n
和 c
编辑 n
， x
而 c
不是 c
一个 m
政治家 n
。 x
"
391,然而它却无法延长至新的车站大楼。,"然而 c
它 r
却 d
无法 n
延长 v
至 p
新 a
的 uj
车站 n
大楼 n
。 x
"
392,难道这就是他们所谓的民主吗？”。,"难道 d
这 r
就是 d
他们 r
所谓 b
的 uj
民主 n
吗 y
？ x
” x
。 x
"
393,"在这个总数中，有499,862是犹太人。","在 p
这个 r
总数 n
中 f
， x
有 v
499 m
, x
862 m
是 v
犹太人 nz
。 x
"
394,旅行者1号发出的信号需要19个小时才能到达地球。,"旅行者 n
1 m
号 m
发出 v
的 uj
信号 n
需要 v
19 m
个 m
小时 n
才能 v
到达 v
地球 n
。 x
"
395,他当然不是一个种族主义者；这个问题从根本上是宗教和文化方面。,"他 r
当然 d
不是 c
一个 m
种族主义者 n
； x
这个 r
问题 n
从根本上 d
是 v
宗教 n
和 c
文化 n
方面 n
。 x
"
396,然后，一名作家则认为至少在英格兰这是不真实的。,"然后 c
， x
一名 m
作家 n
则 d
认为 v
至少 d
在 p
英格兰 ns
这 r
是 v
不 d
真实 d
的 uj
。 x
"
397,LTI系统理论善于描述了许多重要的系统。,"LTI eng
系统 n
理论 n
善于 v
描述 v
了 ul
许多 m
重要 a
的 uj
系统 n
。 x
"
398,她现在可以诚实和快乐，而不是像她自己的伪造版本一样生活。,"她 r
现在 t
可以 c
诚实 a
和 c
快乐 a
， x
而 c
不是 c
像 v
她 r
自己 r
的 uj
伪造 v
版本 n
一样 r
生活 vn
。 x
"
399,Dariani承认，他的网站是基于 Facebook上。,"Dariani eng
承认 v
， x
他 r
的 uj
网站 n
是 v
基于 p
  x
Facebook eng
上 ns
。 x
"
400,我想打电话给巴基斯坦的孩子们，让我们宣布对文盲进行战争。,"我 r
想 v
打电话 l
给 p
巴基斯坦 ns
的 uj
孩子 n
们 k
， x
让 v
我们 r
宣布 v
对 p
文盲 n
进行 v
战争 n
。 x
"
401,一个杀死11万名他的人民的人是一个恐怖分子。,"一个 m
杀死 v
11 m
万名 m
他 r
的 uj
人民 n
的 uj
人 n
是 v
一个 m
恐怖分子 n
。 x
"
402,也正是在这个时候，理查德宣布，他第三次当爸爸了。,"也 d
正是 d
在 p
这个 r
时候 n
， x
理查德 n
宣布 v
， x
他 r
第三次 m
当 t
爸爸 n
了 ul
。 x
"
403,使用此方法，他会最终找到下山的路。,"使用 v
此 zg
方法 n
， x
他 r
会 v
最终 d
找到 v
下山 ns
的 uj
路 n
。 x
"
404,后来在1916年，又有262名日本人到达。,"后来 t
在 p
1916 m
年 m
， x
又 d
有 v
262 m
名 n
日本 ns
人 n
到达 v
。 x
"
405,但是，只有大约1%的CMEs能够产生强大的SEP事件。,"但是 c
， x
只有 c
大约 d
1 x
% x
的 uj
CMEs eng
能够 v
产生 n
强大 a
的 uj
SEP eng
事件 n
。 x
"
406,《Lemonade Stand》第一次被开发。,"《 x
Lemonade eng
  x
Stand eng
》 x
第一次 m
被 p
开发 v
。 x
"
407,他补充说到绿色是最好的颜色是因为当两个阴影合并时，它运行的很好。,"他 r
补充 v
说 v
到 v
绿色 n
是 v
最好 a
的 uj
颜色 n
是因为 c
当 t
两个 m
阴影 n
合并 v
时 n
， x
它 r
运行 v
的 uj
很好 a
。 x
"
408,一个商战模拟游戏可能有工业，商业或金融背景（Elgood，1996年）。,"一个 m
商战 n
模拟游戏 n
可能 v
有 v
工业 n
， x
商业 n
或 c
金融 n
背景 n
（ x
Elgood eng
， x
1996 m
年 m
） x
。 x
"
409,基本上，我只做她的编辑。,"基本上 n
， x
我 r
只 d
做 v
她 r
的 uj
编辑 n
。 x
"
410,我为此引以为傲。,"我 r
为此 r
引以为傲 i
。 x
"
411,明年我们认为她应该要找一位文字助理。,"明年 t
我们 r
认为 v
她 r
应该 v
要 v
找 v
一位 m
文字 n
助理 vn
。 x
"
412,他展示了出现在什么程度上创造了存在。,"他 r
展示 v
了 ul
出现 v
在 p
什么 r
程度 n
上 f
创造 v
了 ul
存在 v
。 x
"
413,但是，她在意大利去世之前从来没有这样做过。,"但是 c
， x
她 r
在 p
意大利 ns
去世 t
之前 f
从来 d
没有 v
这样 r
做 v
过 ug
。 x
"
414,他是在1986年被释放的，重温敌人和朋友，他不能区分谁了。,"他 r
是 v
在 p
1986 m
年 m
被 p
释放 v
的 uj
， x
重温 n
敌人 n
和 c
朋友 n
， x
他 r
不能 v
区分 n
谁 r
了 ul
。 x
"
415,另外四人加入了Read It Later团队。,"另外 c
四 m
人 n
加入 v
了 ul
Read eng
  x
It eng
  x
Later eng
团队 n
。 x
"
416,据报道，2009年9月两国政府副外长之间的一次会议侧重于政治和经济合作。,"据 p
报道 v
， x
2009 m
年 m
9 m
月 m
两国政府 l
副外长 n
之间 f
的 uj
一次 m
会议 n
侧重于 n
政治 n
和 c
经济 n
合作 vn
。 x
"
417,2006年，Thousand Parsec未达到预想目标。,"2006 m
年 m
， x
Thousand eng
  x
Parsec eng
未 t
达到 v
预想 v
目标 n
。 x
"
418,“我们是瑞士人，瑞士人不要放弃他们的武器，而是和他们的生命在一起。,"“ x
我们 r
是 v
瑞士人 nrt
， x
瑞士人 nrt
不要 df
放弃 v
他们 r
的 uj
武器 n
， x
而是 c
和 c
他们 r
的 uj
生命 vn
在 p
一起 m
。 x
"
419,狗肉自1986年起在德国被禁止。,"狗肉 n
自 r
1986 m
年 m
起 v
在 p
德国 ns
被 p
禁止 v
。 x
"
420,“杰瑞，雪莉，我没有杀了你们的女儿。,"“ x
杰瑞 nr
， x
雪莉 nr
， x
我 r
没有 v
杀 v
了 ul
你们 r
的 uj
女儿 n
。 x
"
421,被确定的部队现在已经离开该国。,"被 p
确定 v
的 uj
部队 n
现在 t
已经 d
离开 v
该国 r
。 x
"
422,人们被拘留和（或）被送回海地。,"人们 n
被 p
拘留 v
和 c
（ x
或 c
） x
被 p
送回 v
海地 s
。 x
"
423,1994年：NLnet，一个互联网服务提供商。,"1994 m
年 m
： x
NLnet eng
， x
一个 m
互联网 n
服务提供商 n
。 x
"
424,"UDP扫描也是可能的,尽管存在一些技术挑战。","UDP eng
扫描 v
也 d
是 v
可能 v
的 uj
, x
尽管 c
存在 v
一些 m
技术 n
挑战 vn
。 x
"
425,橙色 （奥地利、瑞士、某些其他地方）极端高难。,"橙色 n
  x
（ x
奥地利 ns
、 x
瑞士 ns
、 x
某些 r
其他 r
地方 n
） x
极端 n
高难 a
。 x
"
426,回收一些原料几乎肯定是必要的。,"回收 v
一些 m
原料 n
几乎 d
肯定 v
是 v
必要 d
的 uj
。 x
"
427,建立了许多新的工业、金融和其他机构；例如，今天斯洛伐克的第一家银行成立于1842年。,"建立 v
了 ul
许多 m
新 a
的 uj
工业 n
、 x
金融 n
和 c
其他 r
机构 n
； x
例如 v
， x
今天 t
斯洛伐克 ns
的 uj
第一家 m
银行 n
成立 v
于 p
1842 m
年 m
。 x
"
428,它有一个图形前端：Rpmdrake。,"它 r
有 v
一个 m
图形 n
前端 f
： x
Rpmdrake eng
。 x
"
429,他试图启动政治和解。,"他 r
试图 v
启动 vn
政治 n
和解 v
。 x
"
430,冰岛是处于一个独特的位置。,"冰岛 ns
是 v
处于 v
一个 m
独特 a
的 uj
位置 v
。 x
"
431,科学家认为，这只是该地区所有可能洞穴的20％。,"科学家 n
认为 v
， x
这 r
只是 c
该 r
地区 n
所有 b
可能 v
洞穴 n
的 uj
20 m
％ x
。 x
"
432,近年来，一些德国的火车车长成功获得自杀者父母或配偶的补偿金。,"近年来 t
， x
一些 m
德国 ns
的 uj
火车 n
车长 n
成功 a
获得 v
自杀者 n
父母 n
或 c
配偶 v
的 uj
补偿金 n
。 x
"
433,然而，现代的浏览器提供 JSON.parse 作为这个任务的一个更加安全的替代品。,"然而 c
， x
现代 t
的 uj
浏览器 n
提供 v
  x
JSON eng
. m
parse eng
  x
作为 v
这个 r
任务 n
的 uj
一个 m
更加 d
安全 an
的 uj
替代品 n
。 x
"
434,在奥地利，他们直接将 Decision 2005/513/EC 本地立法。,"在 p
奥地利 ns
， x
他们 r
直接 ad
将 d
  x
Decision eng
  x
2005 m
/ x
513 m
/ x
EC eng
  x
本地 r
立法 d
。 x
"
435,与此同期（1929－1936），政府也开始在亚美尼亚推行工业化。,"与 p
此 zg
同期 b
（ x
1929 m
－ x
1936 m
） x
， x
政府 n
也 d
开始 v
在 p
亚美尼亚 ns
推行 v
工业化 vn
。 x
"
436,值得注意的是，这份名单并不等同于最强烈的太平洋飓风名单。,"值得注意 l
的 uj
是 v
， x
这份 mq
名单 n
并 c
不 d
等同于 vi
最 d
强烈 a
的 uj
太平洋 ns
飓风 n
名单 n
。 x
"
437,路德在开始时说： 现在，我们要以基督徒的方式来处理他们。,"路德 nrt
在 p
开始 v
时说 n
： x
  x
现在 t
， x
我们 r
要 v
以 p
基督徒 n
的 uj
方式 n
来 v
处理 v
他们 r
。 x
"
438,她并没有将她的论点限制于18世纪的女性或英国的女性。,"她 r
并 c
没有 v
将 d
她 r
的 uj
论点 n
限制 v
于 p
18 m
世纪 n
的 uj
女性 n
或 c
英国 ns
的 uj
女性 n
。 x
"
439,Qubes 不是一个多用户系统。,"Qubes eng
  x
不是 c
一个 m
多用户 n
系统 n
。 x
"
440,当他于6点起床时，她已不在那里。,"当 p
他 r
于 p
6 m
点 m
起床 v
时 n
， x
她 r
已 d
不 d
在 p
那里 r
。 x
"
441,通常，这些目标是某个意识形态的一部分。,"通常 d
， x
这些 r
目标 n
是 v
某个 r
意识形态 l
的 uj
一部分 m
。 x
"
442,然而，克罗地亚和罗马尼亚在2004年接受欧盟的所有贸易减少了CEFTA贸易的意义。,"然而 c
， x
克罗地亚 ns
和 c
罗马尼亚 ns
在 p
2004 m
年 m
接受 v
欧盟 j
的 uj
所有 b
贸易 vn
减少 v
了 ul
CEFTA eng
贸易 vn
的 uj
意义 n
。 x
"
443,如果获得通过，该决议不会取代“天空旗”。,"如果 c
获得 v
通过 p
， x
该 r
决议 n
不会 v
取代 v
“ x
天空 n
旗 n
” x
。 x
"
444,’他把它拿出来然后我用大约60美元买了它。,"’ x
他 r
把 p
它 r
拿 v
出来 v
然后 c
我 r
用 p
大约 d
60 m
美元 q
买 v
了 ul
它 r
。 x
"
445,并非所有文化都严格界定了性别角色。,"并非 c
所有 b
文化 n
都 d
严格 ad
界定 n
了 ul
性别角色 n
。 x
"
446,然而，关于新宪法的谈判失败了。,"然而 c
， x
关于 p
新 a
宪法 n
的 uj
谈判 vn
失败 v
了 ul
。 x
"
447,有一天，一个邪恶的人闯入王宫，偷走了三个魔法宝石中的一个。,"有 v
一天 m
， x
一个 m
邪恶 a
的 uj
人 n
闯入 v
王宫 nr
， x
偷走 v
了 ul
三个 m
魔法 n
宝石 nr
中 f
的 uj
一个 m
。 x
"
448,因为所有的潜在选民都是消费者，保护消费者明显有着重要的政治意义。,"因为 c
所有 b
的 uj
潜在 t
选民 n
都 d
是 v
消费者 n
， x
保护 v
消费者 n
明显 a
有着 v
重要 a
的 uj
政治 n
意义 n
。 x
"
449,他们的眼睛盯着这片土地。,"他们 r
的 uj
眼睛 n
盯 v
着 uz
这 r
片 q
土地 n
。 x
"
450,其他国家可能会修改印度尼西亚人的正式名称，以符合当地的标准。,"其他 r
国家 n
可能 v
会 v
修改 v
印度尼西亚 ns
人 n
的 uj
正式 ad
名称 n
， x
以 p
符合 v
当地 s
的 uj
标准 n
。 x
"
451,在伦敦的三个月间，雷伊看了99部电影。,"在 p
伦敦 ns
的 uj
三个 m
月间 n
， x
雷伊 nr
看 v
了 ul
99 m
部 n
电影 n
。 x
"
452,这项新技术是一个名为 Argo / Jason 的系统。,"这项 r
新 a
技术 n
是 v
一个 m
名为 v
  x
Argo eng
  x
/ x
  x
Jason eng
  x
的 uj
系统 n
。 x
"
453,1902年，比利时工党发动了另一次罢工，但失败了。,"1902 m
年 m
， x
比利时 ns
工党 n
发动 vn
了 ul
另 r
一次 m
罢工 v
， x
但 c
失败 v
了 ul
。 x
"
454,此前没有其他巴西艺术家或者葡萄牙语艺术家赢得这个奖项。,"此前 t
没有 v
其他 r
巴西 ns
艺术家 n
或者 c
葡萄牙语 nz
艺术家 n
赢得 v
这个 r
奖项 n
。 x
"
455,总体而言，它们将现行的普通法重述成一系列的原则或规则。,"总体而言 c
， x
它们 r
将 d
现行 n
的 uj
普通法 n
重述 b
成 n
一系列 m
的 uj
原则 n
或 c
规则 n
。 x
"
456,凭藉奖金，他开发了Lotus Mk2。,"凭藉 v
奖金 n
， x
他 r
开发 v
了 ul
Lotus eng
  x
Mk2 eng
。 x
"
457,而且它不会轻易展示它的质素给人看，除非它想”。,"而且 c
它 r
不会 v
轻易 a
展示 v
它 r
的 uj
质素 n
给 p
人 n
看 v
， x
除非 c
它 r
想 v
” x
。 x
"
458,62Cu和64Cu有重要应用。,"62 m
Cu eng
和 c
64 m
Cu eng
有 v
重要 a
应用 v
。 x
"
459,技术写作必须准确。,"技术 n
写作 v
必须 d
准确 a
。 x
"
460,翌日清晨5时整，我就发现60位战士在海滩上等着我。,"翌日 t
清晨 t
5 m
时 ng
整 n
， x
我 r
就 d
发现 v
60 m
位 v
战士 n
在 p
海滩 ns
上 f
等 u
着 uz
我 r
。 x
"
461,两年后，American Cancer Society选举他为副会长。,"两年 m
后 f
， x
American eng
  x
Cancer eng
  x
Society eng
选举 v
他 r
为 p
副会长 n
。 x
"
462,NLG出现已久，但是商业NLG技术直到最近才变得普及。,"NLG eng
出现 v
已 d
久 a
， x
但是 c
商业 n
NLG eng
技术 n
直到 v
最近 f
才 d
变得 v
普及 ns
。 x
"
463,保加利亚目前认为成为欧元区的成员过于危险。,"保加利亚 ns
目前 t
认为 v
成为 v
欧元区 ns
的 uj
成员 n
过于 v
危险 an
。 x
"
464,从历史上看，安哥拉没有重要的穆斯林人口。,"从 p
历史 n
上看 v
， x
安哥拉 nr
没有 v
重要 a
的 uj
穆斯林 nz
人口 n
。 x
"
465,160米也被称为“顶级波段”。,"160 m
米 m
也 d
被 p
称为 v
“ x
顶级 n
波段 n
” x
。 x
"
466,作为法国的最高级法律法院，它也有其它职责。,"作为 v
法国 ns
的 uj
最高级 b
法律 n
法院 n
， x
它 r
也 d
有 v
其它 r
职责 n
。 x
"
467,一旦游客遇到大猩猩，他们花一个小时与它们在一起。,"一旦 d
游客 n
遇到 v
大猩猩 n
， x
他们 r
花 v
一个 m
小时 n
与 p
它们 r
在 p
一起 m
。 x
"
468,自2007年年初以来，没有关于UDI的公告，UDI网站也已不再运行。,"自 r
2007 m
年 m
年初 t
以来 f
， x
没有 v
关于 p
UDI eng
的 uj
公告 n
， x
UDI eng
网站 n
也已 y
不再 d
运行 v
。 x
"
469,截至2008年，至少有76个国家是在以某种形式使用直接地热能源。,"截至 v
2008 m
年 m
， x
至少 d
有 v
76 m
个 m
国家 n
是 v
在 p
以 f
某种 r
形式 n
使用 v
直接 ad
地热能源 n
。 x
"
470,他还说，总理，内政部长和国防部长得出的结论是，需要向巴基斯坦提供某种“回应”。,"他 r
还 d
说 v
， x
总理 n
， x
内政部长 n
和 c
国防部长 n
得出 v
的 uj
结论 n
是 v
， x
需要 v
向 p
巴基斯坦 ns
提供 v
某种 r
“ x
回应 v
” x
。 x
"
471,"""如同有些人知道的Gareth在过去几年已经在美国定居，并起在最近结婚了。",""" x
如同 d
有些 r
人 n
知道 v
的 uj
Gareth eng
在 p
过去 t
几年 m
已经 d
在 p
美国 ns
定居 v
， x
并起 v
在 p
最近 f
结婚 v
了 ul
。 x
"
472,减轻重量使你在任何地方都更快”。,"减轻 v
重量 n
使 v
你 r
在 p
任何 r
地方 n
都 d
更快 d
” x
。 x
"
473,对于有欧洲大陆银行传统的国家尤为如此。,"对于 p
有 v
欧洲 ns
大陆 n
银行 n
传统 n
的 uj
国家 n
尤为 d
如此 c
。 x
"
474,1992年7月3日，FIFA最终欢迎南非回归国际足坛。,"1992 m
年 m
7 m
月 m
3 m
日 m
， x
FIFA eng
最终 d
欢迎 v
南非 ns
回归 v
国际足坛 n
。 x
"
475,最大的一家当然是Google。,"最大 a
的 uj
一家 m
当然 d
是 v
Google eng
。 x
"
476,他打算卖了沙滩。,"他 r
打算 v
卖 v
了 ul
沙滩 nr
。 x
"
477,柏林现在被八支俄罗斯军队完全包围。,"柏林 nr
现在 t
被 p
八支 m
俄罗斯 ns
军队 n
完全 ad
包围 v
。 x
"
478,但斯奈普斯被允许回家，因为他有一个有效的美国护照。,"但斯 nrt
奈普斯 nrt
被 p
允许 v
回家 n
， x
因为 c
他 r
有 v
一个 m
有效 a
的 uj
美国 ns
护照 n
。 x
"
479,为避免混淆，它现在被称为Mozilla应用程序框架。,"为 p
避免 v
混淆 v
， x
它 r
现在 t
被 p
称为 v
Mozilla eng
应用程序 n
框架 n
。 x
"
480,歌曲“Rosanna”部分基于她。,"歌曲 n
“ x
Rosanna eng
” x
部分 n
基于 p
她 r
。 x
"
481,你有五头牛。,"你 r
有 v
五 m
头牛 n
。 x
"
482,“1992年我开始创作〈灰与雪〉时，是想从里向外探索人类和动物的关系。,"“ x
1992 m
年 m
我 r
开始 v
创作 vn
〈 x
灰 n
与 p
雪 n
〉 x
时 n
， x
是 v
想 v
从里向外 l
探索 v
人类 n
和 c
动物 n
的 uj
关系 n
。 x
"
483,美国派出了两名选举观察员和三名记者。,"美国 ns
派出 v
了 ul
两名 m
选举 v
观察员 n
和 c
三名 m
记者 n
。 x
"
484,彼得承诺每年春天会为了温蒂回来。,"彼得 nrt
承诺 v
每年 r
春天 t
会 v
为了 p
温蒂 nr
回来 v
。 x
"
485,一些国家，特别是非洲国家，由于发展停滞和艾滋病的影响，似乎在第二阶段停滞不前。,"一些 m
国家 n
， x
特别 d
是 v
非洲 ns
国家 n
， x
由于 c
发展 vn
停滞 v
和 c
艾滋病 n
的 uj
影响 vn
， x
似乎 d
在 p
第二阶段 t
停滞不前 i
。 x
"
486,可是“惟上帝不常。,"可是 c
“ x
惟 b
上帝 n
不 d
常 d
。 x
"
487,他支持资助非暴力21世纪组织（Non-Violence XXI）。,"他 r
支持 v
资助 n
非暴力 l
21 m
世纪 n
组织 v
（ x
Non eng
- x
Violence eng
  x
XXI eng
） x
。 x
"
488,1.1%来自汞的生产，主要用于电池。,"1.1 m
% x
来自 v
汞 n
的 uj
生产 vn
， x
主要 b
用于 v
电池 n
。 x
"
489,随后她在法国南部举行了她的第二次婚礼。,"随后 d
她 r
在 p
法国 ns
南部 f
举行 v
了 ul
她 r
的 uj
第二次 m
婚礼 n
。 x
"
490,他们说他们有炸弹。,"他们 r
说 v
他们 r
有 v
炸弹 n
。 x
"
491,我输了，尼克松先生赢了。,"我 r
输 v
了 ul
， x
尼克松 nr
先生 n
赢 v
了 ul
。 x
"
492,Masica 支持最后的观点。,"Masica eng
  x
支持 v
最后 f
的 uj
观点 n
。 x
"
493,他提交了几个鳞片和少量的血液作为证据。,"他 r
提交 v
了 ul
几个 m
鳞片 n
和 c
少量 m
的 uj
血液 n
作为 v
证据 n
。 x
"
494,印度联合银行现在旨在扩大其国际活动。,"印度 ns
联合 v
银行 n
现在 t
旨在 v
扩大 v
其 r
国际 n
活动 vn
。 x
"
495,我们只关心体育，而非政治。,"我们 r
只 d
关心 n
体育 vn
， x
而 c
非 h
政治 n
。 x
"
496,1046年，一些威廉的敌人终于决定攻击。,"1046 m
年 m
， x
一些 m
威廉 nrt
的 uj
敌人 n
终于 d
决定 v
攻击 v
。 x
"
497,然而，许多历史学家认为有第三份文件存在。,"然而 c
， x
许多 m
历史学家 n
认为 v
有 v
第三份 m
文件 n
存在 v
。 x
"
498,即使在有燃料的地方，SODIS也是一种更经济，更环保的选择。,"即使 c
在 p
有 v
燃料 n
的 uj
地方 n
， x
SODIS eng
也 d
是 v
一种 m
更 d
经济 n
， x
更 d
环保 j
的 uj
选择 v
。 x
"
